Status,Section Name,Title,Dates,Location,Instructional Methods,Meeting Information,Faculty,Availability ,Credits,Course Types,Academic Level
Open,ENG-4990-01 ,SENIOR WORKSHOP,1/9/2023-5/6/2023,Lincoln,LECTURE,W 2:00-3:40 PM 1/9/2023 - 5/6/2023 OM 302 (LEC) ,"Hickman, Mary ",9 / 20 / 0,2 Credits,"Writing Instructive
Speaking Instructive",Undergraduate
Open,GEND-2850-01 ,SEX AND THE ARTS,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 2:00-3:15 PM 1/9/2023 - 5/6/2023 RFA 126 (LEC) ","Spilker, John D. ",2 / 15 / 0,4 Credits,"Experiential Intensive
Diversity-U.S.
Discourse Instructive
Chaos Thread
Gender Studies",Undergraduate
Open,GEND-2970-01 ,GEND STUDIES INTERNSHIP,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Lester, Rita M. ",99 / 99 / 0,1 to 8 Credits,"Internship/Practicum
Gender Studies
Experiential Intensive
Gender & Sexuality Thread",Undergraduate
Open,GEND-3000-01 ,GENDER ADVOCACY,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 2:00-3:10 PM 1/9/2023 - 5/6/2023 OM 123 (LEC) ","Herndon, Gerise ",17 / 25 / 0,4 Credits,"Gender Studies
Experiential Exploratory
Gender & Sexuality Thread",Undergraduate
Open,GEND-3960-01 ,SPECIAL PROJECTS,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Lester, Rita M. ",99 / 99 / 0,1 to 3 Credits,Gender Studies,Undergraduate
Open,GEND-4970-01 ,GENDER STUDIES INTERNSHIP,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Lester, Rita M. ",99 / 99 / 0,1 to 8 Credits,"Internship/Practicum
Gender Studies
Experiential Intensive
Gender & Sexuality Thread",Undergraduate
Open,GEND-4990-01 ,CAPSTONE,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Lester, Rita M. ",98 / 99 / 0,1 Credits,Gender Studies,Undergraduate
Open,GEOG-1520-01 ,CULTURAL GEOGRAPHY,1/9/2023-5/6/2023,Lincoln,LECTURE,W 6:00-8:30 PM 1/9/2023 - 5/6/2023 SC 221 (LEC) ,"Thompson, Mark ",18 / 25 / 0,3 Credits,Diversity-Global,Undergraduate
Open,HCMGT-5250-LOMA ,ETHICS IN HLTHCARE & BUS,3/13/2023-5/6/2023,Distance (online),Online,3/13/2023 - 5/6/2023 (WEB) ,"Staff-NURS, F. ",22 / 25 / 0,3 Credits,"Online
Adult UG or Grad only sec
2ND 8-WEEK Session",Graduate
Open,HCMGT-5890-LOMA ,SEMINAR-HLTHCARE MGT,1/9/2023-3/3/2023,Distance (online),Online,1/9/2023 - 3/3/2023 (WEB) ,"Staff-NURS, F. ",24 / 25 / 0,3 Credits,"Online
1ST 8-WEEK Session
Adult UG or Grad only sec",Graduate
Open,HCMGT-5990-LOMA ,HLTH CARE MNGNT CAPSTONE,1/9/2023-5/6/2023,Distance (online),Online,1/9/2023 - 5/6/2023 (WEB) ,"Fitzke, Molly ",7 / 10 / 0,2 Credits,"Online
Adult UG or Grad only sec",Graduate
Open,HHP-1100-01 ,GOLF,3/13/2023-5/6/2023,Lincoln,LECTURE,"T, Th 12:20-1:35 PM 3/13/2023 - 5/6/2023 WC KFH (LEC) ","Frese, Derek L. ",8 / 20 / 0,1 Credits,2ND 8-WEEK Session,Undergraduate
Open,HHP-1140-01 ,SWIMMING,3/13/2023-5/6/2023,Lincoln,LECTURE,"T, Th 8:35-9:50 AM 3/13/2023 - 5/6/2023 WC POOL (LEC) ","Hunt, Kyle ",15 / 20 / 0,1 Credits,2ND 8-WEEK Session,Undergraduate
Open,HHP-1150-01 ,YOGA,3/13/2023-5/6/2023,Lincoln,LECTURE,"T, Th 10:20-11:35 AM 3/13/2023 - 5/6/2023 BH LL3 (LEC) ","Hayes, Melissa H. ",1 / 14 / 0,1 Credits,2ND 8-WEEK Session,Undergraduate
Open,HHP-1160-01 ,FITNESS SWIMMING,3/13/2023-5/6/2023,Lincoln,LECTURE,"T, Th 8:35-9:50 AM 3/13/2023 - 5/6/2023 WC POOL (LEC) ","Hunt, Kyle ",15 / 20 / 0,1 Credits,2ND 8-WEEK Session,Undergraduate
Open,HHP-1180-N1 ,SCUBA I:OPEN WATR DIVE,1/9/2023-3/3/2023,Lincoln,LECTURE,T 6:00-10:00 PM 1/9/2023 - 3/3/2023 OC AQUA (LEC) ,"Aquatrec Scuba, 
Pettit, Patricia D. ",14 / 14 / 0,1 Credits,1ST 8-WEEK Session,Undergraduate
Open,HHP-1190-N1 ,SCUBA II:ADVANCED,3/13/2023-5/6/2023,Lincoln,ARRANGED,3/13/2023 - 5/6/2023 OC AQUA (ARR) ,"Aquatrec Scuba, 
Pettit, Patricia D. ",14 / 14 / 0,1 Credits,2ND 8-WEEK Session,Undergraduate
Open,HHP-1260-01 ,HUMAN HLTH & WELLNESS,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W 10:00-10:50 AM 1/9/2023 - 5/6/2023 WC 106B (LEC) ","Cain, Rayna M. ",14 / 24 / 0,2 Credits,Human Hlth&Disease Thread,Undergraduate
Open,HHP-1260-02 ,HUMAN HLTH & WELLNESS,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W 11:00-11:50 AM 1/9/2023 - 5/6/2023 WC 106B (LEC) ","Kobs, Megan E. ",22 / 24 / 0,2 Credits,Human Hlth&Disease Thread,Undergraduate
Open,HHP-1270-01 ,ADV EMERGENCY CARE,1/9/2023-3/3/2023,Lincoln,LECTURE,"T, Th 8:20-9:35 AM 1/9/2023 - 3/3/2023 WC 105 (LEC) ","Stutz, Mark ",12 / 20 / 0,1 Credits,1ST 8-WEEK Session,Undergraduate
Open,HHP-1270-02 ,ADV EMERGENCY CARE,3/13/2023-5/6/2023,Lincoln,LECTURE,"T, Th 8:20-9:35 AM 3/13/2023 - 5/6/2023 WC 105 (LEC) ","Stutz, Mark ",20 / 20 / 0,1 Credits,2ND 8-WEEK Session,Undergraduate
Open,HHP-1300-01 ,PRVTN/CARE ATHL INJRY,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 10:00-10:50 AM 1/9/2023 - 5/6/2023 WC 102 (LEC) ","Ensrud, Jason K. ",26 / 26 / 0,3 Credits, ,Undergraduate
Open,HHP-1320-01 ,INTRO TO ALLIED HEALTH,3/13/2023-5/6/2023,Lincoln,LECTURE,"T, Th 12:00-12:50 PM 3/13/2023 - 5/6/2023 WC 106A (LEC) ","Kurtenbach, Mitchell R. ",19 / 25 / 0,1 Credits,2ND 8-WEEK Session,Undergraduate
Open,HHP-1350-01 ,INTRO HLTH & PE,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 2:00-2:50 PM 1/9/2023 - 5/6/2023 WC 106A (LEC) ","Batt-Peters, Lacey M. ",25 / 28 / 0,2 Credits, ,Undergraduate
Open,HHP-1450-01 ,GAMES & ACTIVITIES II,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W 12:20-1:35 PM 1/9/2023 - 5/6/2023 WC KFH (LEC) ","Kidder, Jacque S. ",4 / 20 / 0,2 Credits, ,Undergraduate
Open,HHP-1500-01 ,INTRO COACHING THEORY,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W 12:00-12:50 PM 1/9/2023 - 5/6/2023 WC 106B (LEC) ","Bradley, Brandon M. ",19 / 25 / 0,2 Credits, ,Undergraduate
Open,HHP-1700-01 ,INTRO TO SPORT MGT,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 10:00-10:50 AM 1/9/2023 - 5/6/2023 WC 106A (LEC) ","Crume, Kevin A. ",26 / 28 / 0,3 Credits, ,Undergraduate
Open,HHP-1740-01 ,SPORT IN SOCIETY,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 1:00-1:50 PM 1/9/2023 - 5/6/2023 WC 106A (LEC) ","Staff-HHP, F. ",17 / 25 / 0,2 Credits, ,Undergraduate
Open,HHP-1770-01 ,SPORTS STUDIES:VB,1/9/2023-5/6/2023,Lincoln,LECTURE,T 12:00-1:40 PM 1/9/2023 - 5/6/2023 WC 105 (LEC) ,"Cain, Rayna M. ",20 / 25 / 0,2 Credits, ,Undergraduate
Open,HHP-1790-01 ,SPORTS STUDIES:BSB/SB,1/9/2023-5/6/2023,Lincoln,"LECTURE
LECTURE",Th 10:00-11:40 AM 1/9/2023 - 5/6/2023 WC 106A (LEC) Th 10:00-11:40 AM 1/9/2023 - 5/6/2023 WC KFH (LEC) ,"Staff-HHP, F. ",21 / 25 / 0,2 Credits, ,Undergraduate
Open,HHP-1800-01 ,SPORTS STUDIES:SOCCER,1/9/2023-5/6/2023,Lincoln,LECTURE,Th 12:00-1:40 PM 1/9/2023 - 5/6/2023 WC 105 (LEC) ,"Dyson, Jennifer M. ",20 / 25 / 0,2 Credits, ,Undergraduate
Open,HHP-1820-01 ,SPORT STUDIES: WRESTNG,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W 11:00-11:50 AM 1/9/2023 - 5/6/2023 WRFC -- (LEC) ","Bradley, Brandon M. ",17 / 25 / 0,2 Credits, ,Undergraduate
Open,HHP-1910-N1 ,MEDICAL TERMINOLOGY,1/9/2023-3/3/2023,Distance (online),Online,1/9/2023 - 3/3/2023 (WEB) ,"Pahl, Kaitlyn ",12 / 20 / 0,1 Credits,"1ST 8-WEEK Session
Online",Undergraduate
Open,HHP-1910-N2 ,MEDICAL TERMINOLOGY,3/13/2023-5/6/2023,Distance (online),Online,3/13/2023 - 5/6/2023 (WEB) ,"Pahl, Kaitlyn ",19 / 20 / 0,1 Credits,"2ND 8-WEEK Session
Online",Undergraduate
Closed,HHP-2000-N1 ,MINDFULNESS & STRESS,3/13/2023-5/6/2023,Lincoln,"LECTURE
LECTURE",W 5:30-8:00 PM 3/13/2023 - 5/6/2023 SC 225 (LEC) Sa 9:00 AM-3:00 PM 4/15/2023 - 4/15/2023 SC 225 (LEC) ,"Jensen, Karla K. ",0 / 15 / 0,2 Credits,"2ND 8-WEEK Session
Human Hlth&Disease Thread",Undergraduate
Open,HHP-2010-01 ,DRUGS,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 2:20-3:35 PM 1/9/2023 - 5/6/2023 WC 102 (LEC) ","Pettit, Patricia D. ",1 / 25 / 0,3 Credits,"Discourse Instructive
Human Hlth&Disease Thread",Undergraduate
Closed,HHP-2030-01 ,HUMAN SEXUALITY,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 10:20-11:35 AM 1/9/2023 - 5/6/2023 WC 102 (LEC) ","Pettit, Patricia D. ",0 / 25 / 0,3 Credits,"Discourse Instructive
Diversity-U.S.
Reflected Self Thread
Human Hlth&Disease Thread",Undergraduate
Open,HHP-2040-01 ,STRESS & DISEASE MGT,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 10:00-10:50 AM 1/9/2023 - 5/6/2023 WC ALLAMER (LEC) ","Batt-Peters, Lacey M. ",3 / 25 / 0,2 Credits,Human Hlth&Disease Thread,Undergraduate
Open,HHP-2500-01 ,BASIC HUMAN NUTRITION,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W 11:00-11:50 AM 1/9/2023 - 5/6/2023 WC 106A (LEC) ","Dykstra, Rachel ",24 / 28 / 0,2 Credits,Human Hlth&Disease Thread,Undergraduate
Open,HHP-2500-02 ,BASIC HUMAN NUTRITION,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W 12:00-12:50 PM 1/9/2023 - 5/6/2023 WC 106A (LEC) ","Dykstra, Rachel ",21 / 28 / 0,2 Credits,Human Hlth&Disease Thread,Undergraduate
Open,HHP-2500-03 ,BASIC HUMAN NUTRITION,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W 1:00-1:50 PM 1/9/2023 - 5/6/2023 WC 106A (LEC) ","Dykstra, Rachel ",24 / 28 / 0,2 Credits,Human Hlth&Disease Thread,Undergraduate
Closed,HHP-2720-01 ,INTRO MASSAGE THERAPY,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W 8:20-9:35 AM 1/9/2023 - 5/6/2023 WC 105 (LEC) ","Kozisek, Sue A. ",0 / 15 / 0,3 Credits,Human Hlth&Disease Thread,Undergraduate
Open,HHP-2720-02 ,INTRO MASSAGE THERAPY,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W 10:20-11:35 AM 1/9/2023 - 5/6/2023 WC 105 (LEC) ","Kozisek, Sue A. ",6 / 15 / 0,3 Credits,Human Hlth&Disease Thread,Undergraduate
Open,HHP-2760-01 ,SPORT&EXERCISE PSYCH,1/9/2023-5/6/2023,Lincoln,LECTURE,T 10:00-11:40 AM 1/9/2023 - 5/6/2023 WC 106A (LEC) ,"Bulling, Ted A. ",15 / 25 / 0,2 Credits, ,Undergraduate
Open,HHP-2850-01 ,STRUCT KINESIOLOGY,3/13/2023-5/6/2023,Lincoln,LECTURE,"T, Th 12:00-12:50 PM 3/13/2023 - 5/6/2023 WC 106B (LEC) ","Llewellyn, Tamra L. ",3 / 24 / 0,1 Credits,2ND 8-WEEK Session,Undergraduate
Open,HHP-2920-01 ,SPRT FACLTY & EVNT MGT,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W 8:35-9:50 AM 1/9/2023 - 5/6/2023 WC 106B (LEC) ","Chambers, Gina L. ",21 / 25 / 0,3 Credits,Experiential Exploratory,Undergraduate
Open,HHP-3000-01 ,COACHING PRACTICUM,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 WC 221 (ARR) ,"Batt-Peters, Lacey M. ",20 / 25 / 0,1 to 6 Credits,"Internship/Practicum
Experiential Intensive",Undergraduate
Open,HHP-3100-N1 ,WORKSITE HLTH PROMO,1/9/2023-5/6/2023,Lincoln,LECTURE,T 6:30-9:15 PM 1/9/2023 - 5/6/2023 WC 102 (LEC) ,"Staff-HHP, F. ",11 / 30 / 0,3 Credits, ,Undergraduate
Open,HHP-3150-01 ,PRIN OF SPORT PERF,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 8:20-9:35 AM 1/9/2023 - 5/6/2023 WC ALLAMER (LEC) ","Frese, Derek L. ",9 / 25 / 0,3 Credits, ,Undergraduate
Closed,HHP-3210-01 ,CURR ISS/ETHICS-SPORT,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 8:35-9:50 AM 1/9/2023 - 5/6/2023 WC 106B (LEC) ","Chambers, Gina L. ",0 / 20 / 0,3 Credits,Discourse Instructive,Undergraduate
Closed,HHP-3400-01 ,ADV HUMAN NUTRITION,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 12:00-12:50 PM 1/9/2023 - 5/6/2023 WC 168 (LEC) ","Dykstra, Rachel ",0 / 20 / 0,2 Credits,Writing Instructive,Undergraduate
Open,HHP-3600-01 ,SECONDARY PE METHODS,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W 8:35-9:50 AM 1/9/2023 - 5/6/2023 WC 102 (LEC) ","Batt-Peters, Lacey M. ",6 / 20 / 0,3 Credits,"Speaking Instructive
Writing Instructive",Undergraduate
Open,HHP-3650-01 ,ADAPT PHYS EDUC,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 8:35-9:50 AM 1/9/2023 - 5/6/2023 WC 106A (LEC) ","Batt-Peters, Lacey M. ",17 / 25 / 0,3 Credits, ,Undergraduate
Closed,HHP-3850-01 ,BIOMECHANICS,1/9/2023-5/6/2023,Lincoln,"LECTURE
LECTURE","M, W 2:20-3:35 PM 1/9/2023 - 5/6/2023 WC 106A (LEC) M, W 2:20-3:35 PM 1/9/2023 - 5/6/2023 WC 106B (LEC) ","Llewellyn, Tamra L. ",0 / 30 / 0,3 Credits, ,Undergraduate
Closed,HHP-3990-01 ,PROF ENGAGEMENT,1/9/2023-3/3/2023,Lincoln,LECTURE,"T, Th 12:00-12:50 PM 1/9/2023 - 3/3/2023 WC ALLAMER (LEC) ","Chambers, Gina L. ",0 / 15 / 0,1 Credits,1ST 8-WEEK Session,Undergraduate
Open,HHP-4150-01 ,PHYSIOLOGY OF EXERCISE,1/9/2023-5/6/2023,Lincoln,"LECTURE
LAB","M, W, F 10:00-11:50 AM 1/9/2023 - 5/6/2023 WC ALLAMER (LEC) M, W, F 10:00-11:50 AM 1/9/2023 - 5/6/2023 WC 168 (LAB) ","Llewellyn, Tamra L. ",12 / 30 / 0,4 Credits, ,Undergraduate
Open,HHP-4220-01 ,SPORT FINANCE,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 10:20-11:35 AM 1/9/2023 - 5/6/2023 WC 106B (LEC) ","Chambers, Gina L. ",4 / 25 / 0,3 Credits, ,Undergraduate
Closed,HHP-4250-01 ,EXERCISE TEST/PRGRMG,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 10:20-11:35 AM 1/9/2023 - 5/6/2023 WC 168 (LEC) ","Dykstra, Rachel ",0 / 24 / 0,3 Credits, ,Undergraduate
Open,HHP-4800-01 ,RSRCH AND STAT METHODS,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W 12:20-1:35 PM 1/9/2023 - 5/6/2023 WC 105 (LEC) ","Llewellyn, Tamra L. ",12 / 20 / 0,3 Credits,"Writing Instructive
Discourse Instructive",Undergraduate
Open,HHP-4810-01 ,SENIOR RESEARCH,1/9/2023-5/6/2023,Lincoln,LECTURE,T 2:00-2:50 PM 1/9/2023 - 5/6/2023 WC 106B (LEC) ,"Llewellyn, Tamra L. ",15 / 18 / 0,1 Credits,Speaking Instructive,Undergraduate
Open,HHP-4950-01 ,INDEPENDENT STUDY,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Pettit, Patricia D. ",99 / 99 / 0,1 to 12 Credits, ,Undergraduate
Open,HHP-4960-01 ,SPECIAL PROJECTS,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Pettit, Patricia D. ",99 / 99 / 0,1 to 15 Credits, ,Undergraduate
Open,HHP-4960-02 ,SPECIAL PROJECTS,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Chambers, Gina L. ",99 / 99 / 0,1 to 15 Credits, ,Undergraduate
Open,HHP-4960-03 ,SPECIAL PROJECTS,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Llewellyn, Tamra L. ",99 / 99 / 0,1 to 15 Credits, ,Undergraduate
Open,HHP-4960-04 ,SPECIAL PROJECTS,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Batt-Peters, Lacey M. ",99 / 99 / 0,1 to 15 Credits, ,Undergraduate
Open,HHP-4960-05 ,SPECIAL PROJECTS,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Dykstra, Rachel ",99 / 99 / 0,1 to 15 Credits, ,Undergraduate
Open,HHP-4970-01 ,INTERNSHIP:EXERCISE SCIENCE,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 WC 209 (ARR) ,"Pettit, Patricia D. ",19 / 25 / 0,1 to 8 Credits,"Internship/Practicum
Experiential Intensive",Undergraduate
Open,HHP-4970-02 ,INTERNSHIP:SPORT MGMT,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 WC 207 (ARR) ,"Chambers, Gina L. ",15 / 25 / 0,1 to 8 Credits,"Internship/Practicum
Experiential Intensive",Undergraduate
Open,HHP-4970-03 ,INTERNSHIP:HLTH & FITNESS,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 WC 209 (ARR) ,"Pettit, Patricia D. ",18 / 25 / 0,1 to 8 Credits,"Internship/Practicum
Experiential Intensive",Undergraduate
Closed,HHP-4990-01 ,SENIOR CAPSTONE,3/13/2023-5/6/2023,Lincoln,LECTURE,"T, Th 12:00-12:50 PM 3/13/2023 - 5/6/2023 WC ALLAMER (LEC) ","Chambers, Gina L. ",0 / 15 / 0,1 Credits,2ND 8-WEEK Session,Undergraduate
